Term DocID TF Positions
0se 4 1 23828
1000 3 3 539,550,563
1000 4 2 15263,15295
1050 4 1 48547
1114 4 1 18284
1210 4 1 48037
1400 4 1 49677
1411 4 1 11640
1525 4 1 16431
1600 4 1 32477
1796 4 1 125
1800 4 1 35656
1958 3 1 224
1962 3 1 247
1967 3 1 2550
1968 3 1 2554
1970 4 1 24285
1974 3 1 640
1975 3 1 329
1976 3 1 2608
1979 3 2 723,795
1980 3 1 312
1980 4 1 49229
1983 4 2 22319,22350
1985 3 1 1058
1986 3 3 316,320,1062
1988 3 1 744
1988 4 2 20506,38794
1989 3 2 748,858
1990 3 3 342,728,1196
1990 4 7 10957,20492,20516,43626,49154,49195,49242
1991 3 2 1067,2573
1991 4 1 10950
1992 3 1 365
1992 4 1 10927
1993 3 3 571,1071,1075
1993 4 7 1924,7794,22321,22325,22352,22363,36556
1994 2 1 64
1994 3 1 862
1995 4 3 3963,14323,36558
1996 3 2 239,864
1996 4 3 14325,18263,21264
1997 3 1 2612
1997 4 1 2212
1998 3 1 1079
1998 4 1 20507
1999 3 2 994,1128
1999 4 4 10929,10952,24597,45657
1st 4 1 28089
2000 3 3 461,999,1164
2000 4 10 3576,17428,20493,20517,36792,45162,47565,49066,49156,49197
2001 3 4 924,1003,1007,1190
2001 4 7 2174,8244,12312,17174,17905,41869,46634
2002 3 1 2418
2002 4 5 3577,28021,28078,37077,45651
2003 1 1 1101
2003 3 4 671,1775,2133,2187
2003 4 11 2313,3950,8038,19406,21219,22327,22365,24047,24599,24884,33171
2004 3 4 510,799,892,2496
2004 4 11 2314,3447,3578,3933,10102,15199,17907,20562,28335,31906,38245
2005 3 8 868,939,952,1640,2050,2103,2258,2463
2005 4 23 1230,3580,6681,7025,7523,11508,11645,16767,18542,21204,21300,21394,28827,28870,28922,28963,45653,45659,45875,47724,48663,48665,48669
2006 2 1 7
2006 3 2 642,2242
2006 4 44 2327,2350,3267,5118,6690,7526,8674,12999,13002,13149,15986,18265,18544,20338,21396,22022,22714,22957,24886,25770,28338,28402,28871,28939,28967,31821,32924,33562,36794,38247,38796,39664,40208,40215,41118,43196,43628,45533,45553,45673,46122,46879,47507,48690
2007 4 19 11511,11651,15989,23792,26400,28829,28875,28956,28969,32926,39085,39105,40218,40846,42601,42695,45844,45961,49729
2010 4 3 21339,32051,49733
2015 4 1 45877
21st 4 2 20173,30782
25th 4 1 15705
2a 1 1 498
2b 1 1 500
3a 1 1 521
3b 1 1 523
3p 4 1 37564
3rcny 4 1 46141
4a 1 1 547
4b 1 1 549
4sd 4 1 14426
76g 4 1 14425
7a 1 1 679
7b 1 1 681
7th 4 1 1171
90degre 4 1 45621
9th 4 2 3975,21210
a1c 3 1 910
aamc 4 2 31801,32048
abandon 4 5 6941,8567,13516,15761,15789
abdhalah 4 2 14844,32872
abduct 4 1 6950
abdul 4 1 48305
abil 4 12 5524,9165,19111,19505,27682,29166,29295,29998,30891,34454,40522,44672
abnorm 1 5 26,190,270,674,889
abnorm 3 2 730,818
abnorm 4 1 49683
abreu 4 1 2132
abroad 4 1 38382
absent 3 1 2566
absente 4 1 41436
absolut 3 1 2247
absolut 4 1 18027
abstract 2 2 10,453
abstract 4 2 27962,49308
abund 4 1 39368
abus 4 49 291,3210,5725,6942,18339,18856,18916,21580,28116,28192,28202,31878,38703,39008,39030,39203,39207,39286,39441,40119,40141,40184,40222,40267,40319,40352,40541,40578,41066,41137,41207,41350,41375,41389,41442,41467,43412,43437,43478,43504,43513,43533,43549,43573,43614,47762,47800,48458,48460
ac 1 1 1240
ac 4 1 49604
academ 4 13 1450,7598,9180,11236,11339,15497,16280,23451,31432,34757,43518,45464,48215
academi 4 10 895,902,9277,15362,23456,29642,33615,33726,45072,49846
accept 4 10 497,9659,10009,22836,26745,32938,36213,37518,44829,44873
access 4 85 512,577,624,784,852,4218,4225,5259,5506,6895,7141,7337,7579,7631,7641,8693,8841,8853,8861,8941,8984,8993,9506,10794,11524,13349,13365,14526,14812,15037,16237,16834,16848,19371,19398,19455,19471,19479,19490,19545,20232,25045,26288,29412,29553,29694,29828,29987,30399,30476,30509,30544,30885,32329,33381,35167,35886,36076,36134,36937,37623,37855,39433,40463,42938,43143,43399,44340,44424,44514,44627,44688,44744,45080,45419,45445,46842,46851,46891,47007,47040,47050,47547,48667,49311
accid 4 1 42570
accompani 4 1 18779
accomplish 4 2 33342,41228
account 2 2 84,413
account 4 13 2193,6922,10081,11064,12760,12989,13094,13504,17452,22419,33885,43921,47574
accultur 4 1 36898
accumul 4 1 22988
accur 4 3 3494,4323,40731
ace 3 7 963,1328,1347,1829,2125,2699,2713
acess 4 1 7473
acet 4 1 35608
achiev 3 5 298,2306,2327,2362,2399
achiev 4 12 1451,13356,13364,15175,15301,21306,21325,22056,24468,35206,38692,49106
acknowledg 4 1 33454
acm 4 1 38497
acosta 4 1 40377
acquisit 4 2 23678,32772
act 3 2 438,1354
act 4 4 9339,15638,45016,48813
action 4 17 6556,11362,12679,19652,20226,20333,22267,35098,35847,39022,45873,46049,46103,46138,46175,46220,46236
activ 3 6 235,392,421,1021,1033,2512
activ 4 49 961,993,1036,1430,1453,4170,4965,5114,5320,12476,13551,14228,14605,14648,14703,14807,16824,16873,16899,16927,16943,20311,21695,21776,22717,23949,25929,25967,26000,26045,26084,26153,26395,31643,33705,33711,34744,35003,35062,35474,36970,37146,38866,39057,40079,40167,40849,48680,48731
activist 4 6 11127,11241,11297,34796,34830,34877
acut 1 6 16,207,260,456,947,994
acut 3 1 1513
acut 4 3 26358,30802,30825
ad 4 4 10505,17395,17482,19547
ada 4 1 2122
adam 4 3 7945,30038,47356
adan 4 1 42763
adapt 4 11 5063,20686,20739,20779,26139,29209,29255,29278,41524,41533,46531
add 3 1 165
add 4 2 3958,6489
addict 4 17 5146,5176,5211,5220,5254,5307,5321,5369,8435,18447,18791,18909,39903,39941,39947,39999,40041
addit 2 1 375
addit 3 6 750,1241,2322,2387,2465,2613
addit 4 23 1482,1536,1546,8072,14460,16173,17541,19481,19706,24425,26901,28957,29079,32245,34416,35767,37407,37513,38995,41150,46432,46455,46998
address 4 68 922,1069,1851,1889,1939,2703,2908,3139,4989,5730,8831,8847,8916,9391,10539,10840,12780,13186,13337,15419,18685,19096,19130,20667,25592,26998,28162,28295,31452,31753,31998,32113,32845,32909,33496,33650,33689,33981,34044,34057,34173,34958,35148,35164,35185,35207,35244,35548,35688,35811,35910,37882,38450,40003,42255,42472,42607,42907,44190,46042,46461,46477,47200,47445,47512,48117,49270,49628
adedeji 4 1 47647
adeniji 4 1 47646
adequ 4 5 2912,5215,19688,26524,28163
adequaci 4 1 36357
adetona 4 1 22266
adeyemi 4 1 31768
adher 4 7 14542,14644,14736,14781,26097,27606,49754
adhes 4 1 26519
adhikari 4 2 3169,11369
adilza 4 1 25550
adjac 4 1 44839
adjud 4 3 151,3055,3100
adjust 2 4 103,229,285,354
adjust 3 1 627
adjust 4 27 4978,11047,14443,14468,16068,17485,18075,19072,20606,20814,20826,21065,21714,23130,23795,24219,24629,25312,25376,25412,25442,25462,36630,38879,39125,39180,40890
adlina 4 1 48162
administ 4 10 1217,3935,9811,15980,19226,25250,25256,26081,32453,35424
administr 4 9 5091,8677,8956,15681,19695,29043,33602,34538,40510
admiss 1 9 176,408,619,645,716,748,826,854,872
admiss 2 3 112,125,240
admiss 3 2 1815,1906
admiss 4 2 17255,24864
admit 1 2 54,364
adnan 4 1 35938
adolesc 4 27 10,343,1120,1176,1265,2159,2233,2710,3005,3395,3430,3455,3492,3508,3525,3556,22270,33535,36021,37365,37454,47349,47481,47745,48184,48189,48199
adopt 4 15 7270,7385,7415,7431,11477,20075,20746,21252,21350,27008,28568,31606,31608,31687,43927
adrenerg 3 4 84,212,266,2515
adriana 4 1 4833
adult 3 1 950
adult 4 33 2713,7055,9789,10546,10583,10737,12695,15949,16764,17362,17570,17641,18925,18989,19117,20189,20842,27179,27734,30324,30444,31000,32592,32686,32711,32751,32806,32824,41840,43948,44020,44095,45146
adulthood 4 2 2779,48196
advanc 4 8 4909,6533,9574,20313,20325,26976,35307,49050
advantag 4 5 2528,16291,17982,20771,31076
advers 3 3 1039,1608,1928
advers 4 11 17814,17841,18158,25013,25689,25820,31314,31511,36507,37057,39944
advic 4 1 16556
advis 4 2 15012,43314
advisor 4 3 16571,34782,34920
advisori 4 2 9132,38388
advoc 4 5 6459,9182,9306,34105,46791
advocaci 4 8 801,7185,18820,31934,45461,46599,46613,46619
ae 4 2 9608,9623
aegi 4 1 11262
afasanwo 4 1 39019
affect 4 29 3202,3524,3848,5682,5855,8651,10254,11904,11965,12145,12753,12801,15650,16761,17033,17073,19169,22903,24518,25093,29055,34049,36058,39046,40155,46128,47899,47987,48259
affili 4 4 5738,42781,43523,49788
affin 3 1 274
afford 4 5 4172,16241,20096,24327,45082
afghan 4 1 35980
afi 4 3 16827,16864,16876
africa 4 14 2479,2554,2599,7012,14862,22938,22976,22982,23029,37638,38306,42822,42872,43128
african 3 1 575
african 4 53 1174,2485,3003,3089,3643,3684,3713,3736,3810,3859,10425,10685,13451,14549,14652,14799,14849,17302,17360,17554,17636,17764,19150,19164,19195,19235,19360,20696,22948,23054,23161,23186,23835,32141,32590,32708,32749,32881,34746,34789,35277,38858,40903,43950,44027,44096,44124,44207,44248,44276,44444,46959,46992
afya 4 3 34704,34735,34750
aga 4 2 5795,5812
agah 4 1 22272
agar 4 1 39927
agarw 4 3 554,19783,33207
age 1 2 1018,1032
age 2 1 55
age 3 5 34,523,541,552,1308
age 4 94 382,1331,1619,1988,2160,2201,2239,2965,3102,3456,4053,5719,6996,10528,10536,10567,10629,10792,10854,10901,11631,13453,13584,13643,15116,15950,16070,16123,17626,18078,18126,18304,19104,19149,19163,19194,19243,19359,20676,20689,20742,20782,20817,20824,20845,20867,20879,20888,21006,21067,21631,22395,23232,23840,24180,24636,24639,27239,30176,31056,31092,31102,32593,32979,33026,33180,33192,36082,36369,37509,38850,38882,39698,39720,39868,40851,40893,41659,44026,44279,47131,47182,47259,47339,47618,47748,48010,48177,48465,48549,48564,48592,48611,48623
agenc 4 18 1968,4684,9125,9152,9550,9616,13207,23234,24023,28207,28312,30266,31893,33226,33299,35074,40509,40603
agenda 4 5 11122,11212,11248,11350,28601
agent 4 3 34708,35066,46439
aggraw 4 1 35724
aggreg 4 10 9105,13439,13663,14099,15859,17117,28254,28323,30229,36874
aggress 4 6 1117,1165,1183,1243,1292,1312
agmh 4 1 39027
ago 4 1 34949
agonist 3 1 234
agra 4 1 31694
agre 4 4 11198,29834,29836,43261
agreement 4 1 49763
agricultur 4 1 24299
aha 3 3 509,934,2039
ahm 4 1 37558
aid 4 26 3398,3424,3479,3501,3517,4350,4409,4496,4540,4544,4611,5712,8676,13719,16687,18209,22949,23743,23804,29147,31575,32006,32475,40129,48793,48892
aim 4 19 621,2220,3414,9012,9287,9702,11377,14926,20659,25993,27052,30422,33541,37105,42286,42605,43458,43837,44049
air 4 1 24690
aisl 4 1 38476
aitiani 1 1 1337
akhtar 4 1 27880
akpeh 4 1 47636
akshat 4 1 1604
akwasi 4 1 3402
al 1 2 1099,1140
al 3 33 315,319,328,570,639,722,743,747,798,861,867,891,923,998,1006,1066,1074,1078,1127,1163,1639,1774,2102,2132,2186,2241,2257,2417,2462,2495,2549,2572,2611
alabama 4 2 5809,5817
alam 4 3 42211,42216,48166
alan 4 1 41312
alao 4 1 22945
alcohol 4 20 4049,15824,18306,18429,30014,30078,30122,30185,33373,38914,38931,39627,39764,41161,41793,41832,41882,41897,41922,48459
alessia 3 1 2787
alex 4 3 3406,14840,37906
alford 4 2 30052,41085
alfr 4 1 12879
ali 4 3 8162,16222,16989
alicia 4 1 24263
alien 4 1 7128
aliv 4 1 38799
alkmim 4 1 26185
allacci 4 1 12671
allcaus 3 1 1917
allergen 4 1 6189
alley 4 1 15749
alli 4 4 31230,31816,31823,31882
allianc 4 3 39455,39480,39554
alloc 4 4 1647,28699,35080,46696
allow 3 2 1341,2429
allow 4 2 6451,35190
almdal 3 1 796
alonso 4 1 17824
aloud 4 1 28064
alpha 4 1 29915
alter 1 1 1047
altern 3 2 1847,2707
altern 4 6 9431,9605,14513,30357,36288,36450
alvelai 4 2 39581,44775
ambul 4 1 47302
ambulatori 4 1 17257
amelior 4 1 38525
amen 4 3 17078,17212,34182
america 1 1 1123
america 4 7 7006,24995,37155,38312,39373,42482,42496
american 3 4 22,505,576,931
american 4 54 1175,3004,3090,3644,3685,3714,3737,3811,3860,10112,10116,10426,10686,13452,14550,14653,14800,17303,17361,17555,17637,17765,18947,19151,19165,19196,19236,19361,23836,31796,32142,32591,32709,32750,34747,34790,35278,38064,38859,40904,41095,42492,43951,44028,44097,44125,44208,44249,44277,44445,46960,46993,48476,48539
ami 2 3 62,272,400
ami 4 2 17578,28748
amigo 4 1 17828
amira 4 2 8161,16221
amitabh 3 1 458
ammerman 4 1 17378
amoebias 4 1 38275
amonth 4 1 6737
amphetamin 4 1 39206
amplifi 4 1 13738
amsterdam 4 3 5152,5166,5168
analys 3 1 2110
analys 4 20 3024,3730,8460,12001,13080,14757,14783,18302,18659,22759,33061,36375,36398,36410,36428,41022,43223,45666,45829,47417
analysi 1 2 594,1303
analysi 3 9 1225,1240,1429,1474,1622,2056,2137,2192,2391
analysi 4 61 1583,2069,2896,7678,7703,7852,8263,8391,8405,10420,11014,11048,11775,11827,12316,12737,12769,12869,12981,13056,13465,13477,13670,13795,13827,13848,13890,14628,15204,15811,15875,17597,18241,19722,21000,23033,24162,24871,24978,27316,29020,29919,30251,33089,35824,36575,36852,37310,38880,41451,42032,42053,44379,44903,45530,45577,47725,48075,48557,48777,48826
analyst 4 1 19727
analyt 4 1 15838
analyz 3 1 469
analyz 4 22 1774,2064,4401,8228,12338,12579,12749,19403,22390,23042,23817,28256,28816,33941,34822,37418,37656,38802,44556,46670,48781,49026
anaprasanna 4 1 31645
anatomi 4 1 9396
anchor 4 1 5625
andrea 4 6 1864,21554,27412,27650,39582,44767
andrew 4 1 20116
angel 4 1 29662
angela 4 1 44219
angi 4 1 28759
angiograph 1 1 789
angiographi 1 10 110,138,145,464,502,525,774,779,785,1244
angiotensin 2 1 114
angiotensin 3 5 196,201,960,1358,1839
anhedonia 4 1 48357
anm 4 1 22156
ann 4 6 9210,9446,13398,16215,16724,27882
annual 4 7 5593,6282,22062,31869,35773,38790,45130
anomali 4 1 35952
anonym 4 4 5095,9107,32437,33075
anova 4 1 5972
answer 4 5 17376,29241,29872,33824,46585
ant 4 2 820,26233
antagonist 3 2 214,268
anteced 4 1 47408
antenat 4 1 15014
antenna 4 1 25903
anthrax 4 1 32506
anthropometr 4 2 6710,6814
anti 4 5 9740,27022,27088,27100,27371
antibodi 4 1 21664
antiretrovir 4 2 39050,40160
antismok 4 1 10013
antistigma 4 1 27167
antoin 4 1 49301
antoni 3 1 2547
antonino 4 1 21540
antonio 4 2 26188,26490
aor 4 30 13858,13865,13874,18335,18340,18347,18358,18362,18369,39128,39191,39195,39200,39204,39208,39214,39217,39222,39724,39740,39765,39775,39785,39796,39812,39827,40944,40961,40975,40993
apex 1 1 301
aphrc 4 2 2491,14855
apic 1 18 29,129,151,164,183,220,255,483,531,544,667,750,755,813,879,893,960,1130
apin 4 1 40133
apoptosi 3 1 1054
apoyo 4 1 38082
appear 1 2 31,811
appear 3 2 2167,2735
appear 4 5 13492,19344,22883,32535,39185
appl 4 1 45293
appli 4 4 8031,15201,20367,48579
applic 4 11 7758,18891,23013,30141,30219,33783,34015,34639,34664,34848,43553
appoint 4 4 5245,8889,27587,41258
apprais 4 1 4727
appreci 1 2 206,910
appreci 4 1 28615
apprehend 4 2 7031,7065
approach 4 49 2801,5184,5437,6204,7811,8126,8317,8335,9715,10515,12665,13126,15222,15477,16303,17095,18190,18700,18899,19586,19662,20755,21355,22841,23943,24710,25089,27996,28044,28070,28558,28663,31198,32567,33991,34157,35884,36120,37465,40682,41218,42471,42805,42857,43781,44059,46308,46547,49381
appropri 4 2 5592,20016
approv 1 1 1315
approv 4 1 37669
approxim 1 1 1022
approxim 3 1 455
