Term DocumentFrequency Pointer
0se 1 25
1000 2 40
1050 1 84
1114 1 100
1210 1 116
1400 1 132
1411 1 148
1525 1 164
1600 1 180
1796 1 196
1800 1 210
1958 1 226
1962 1 240
1967 1 254
1968 1 269
1970 1 284
1974 1 300
1975 1 314
1976 1 328
1979 1 343
1980 2 361
1983 1 391
1985 1 413
1986 1 428
1988 2 451
1989 1 487
1990 2 505
1991 2 580
1992 2 616
1993 2 646
1994 2 720
1995 1 747
1996 2 774
1997 2 820
1998 2 850
1999 2 881
1st 1 934
2000 2 949
2001 2 1042
2002 2 1121
2003 3 1175
2004 2 1293
2005 2 1393
2006 3 1584
2007 1 1883
2010 1 2008
2015 1 2036
21st 1 2052
25th 1 2074
2a 1 2090
2b 1 2102
3a 1 2114
3b 1 2126
3p 1 2138
3rcny 1 2152
4a 1 2169
4b 1 2181
4sd 1 2193
76g 1 2208
7a 1 2223
7b 1 2235
7th 1 2247
90degre 1 2261
9th 1 2280
a1c 1 2300
aamc 1 2313
abandon 1 2335
abdhalah 1 2376
abduct 1 2402
abdul 1 2419
abil 1 2436
abnorm 3 2517
abreu 1 2586
abroad 1 2602
absent 1 2620
absente 1 2637
absolut 2 2656
abstract 2 2693
abund 1 2740
abus 1 2757
ac 2 3057
academ 1 3084
academi 1 3172
accept 1 3241
access 1 3311
accid 1 3806
accompani 1 3823
accomplish 1 3844
account 2 3872
accultur 1 3982
accumul 1 4002
accur 1 4021
ace 1 4048
acess 1 4091
acet 1 4107
achiev 2 4123
acknowledg 1 4243
acm 1 4265
acosta 1 4280
acquisit 1 4298
act 2 4324
action 1 4374
activ 2 4488
activist 1 4821
acut 3 4871
ad 1 4947
ada 1 4979
adam 1 4993
adan 1 5020
adapt 1 5036
add 2 5113
addict 1 5145
addit 3 5251
address 1 5452
adedeji 1 5859
adeniji 1 5878
adequ 1 5897
adequaci 1 5936
adetona 1 5956
adeyemi 1 5975
adher 1 5994
adhes 1 6047
adhikari 1 6064
adilza 1 6089
adjac 1 6107
adjud 1 6124
adjust 3 6149
adlina 1 6367
administ 1 6385
administr 1 6457
admiss 4 6523
admit 1 6641
adnan 1 6659
adolesc 1 6676
adopt 1 6833
adrenerg 1 6931
adriana 1 6961
adult 2 6979
adulthood 1 7201
advanc 1 7227
advantag 1 7284
advers 2 7327
advic 1 7433
advis 1 7450
advisor 1 7473
advisori 1 7504
advoc 1 7529
advocaci 1 7567
ae 1 7626
aegi 1 7644
afasanwo 1 7660
affect 1 7680
affili 1 7861
affin 1 7896
afford 1 7911
afghan 1 7952
afi 1 7970
africa 1 7997
african 2 8090
afya 1 8429
aga 1 8457
agah 1 8476
agar 1 8492
agarw 1 8508
age 4 8535
agenc 1 9155
agenda 1 9269
agent 1 9311
aggraw 1 9340
aggreg 1 9358
aggress 1 9430
agmh 1 9473
ago 1 9489
agonist 1 9504
agra 1 9521
agre 1 9537
agreement 1 9571
agricultur 1 9592
aha 1 9614
ahm 1 9636
aid 1 9651
aim 1 9804
air 1 9921
aisl 1 9936
aitiani 1 9952
akhtar 1 9970
akpeh 1 9988
akshat 1 10005
akwasi 1 10022
al 2 10039
alabama 1 10217
alam 1 10240
alan 1 10268
alao 1 10284
alcohol 1 10300
alessia 1 10433
alex 1 10451
alford 1 10478
alfr 1 10502
ali 1 10518
alicia 1 10544
alien 1 10562
aliv 1 10578
alkmim 1 10594
allacci 1 10612
allcaus 1 10631
allergen 1 10649
alley 1 10668
alli 1 10685
allianc 1 10719
alloc 1 10750
allow 2 10784
almdal 1 10827
alonso 1 10843
aloud 1 10861
alpha 1 10878
alter 1 10895
altern 2 10911
alvelai 1 10979
ambul 1 11004
ambulatori 1 11021
amelior 1 11043
amen 1 11062
america 2 11090
american 2 11162
ami 2 11521
amigo 1 11562
amira 1 11579
amitabh 1 11601
ammerman 1 11618
amoebias 1 11638
amonth 1 11658
amphetamin 1 11675
amplifi 1 11697
amsterdam 1 11716
analys 2 11746
analysi 3 11893
analyst 1 12344
analyt 1 12363
analyz 2 12381
anaprasanna 1 12538
anatomi 1 12561
anchor 1 12579
andrea 1 12596
andrew 1 12643
angel 1 12661
angela 1 12678
angi 1 12696
angiograph 1 12712
angiographi 1 12732
angiotensin 2 12791
anhedonia 1 12851
anm 1 12872
ann 1 12887
annual 1 12930
anomali 1 12982
anonym 1 13001
anova 1 13035
answer 1 13051
ant 1 13093
antagonist 1 13112
anteced 1 13136
antenat 1 13155
antenna 1 13174
anthrax 1 13193
anthropometr 1 13212
anti 1 13240
antibodi 1 13279
antiretrovir 1 13299
antismok 1 13329
antistigma 1 13349
antoin 1 13371
antoni 1 13389
antonino 1 13406
antonio 1 13426
aor 1 13451
apex 1 13641
aphrc 1 13655
apic 1 13677
apin 1 13760
apoptosi 1 13776
apoyo 1 13795
appear 3 13812
appl 1 13895
appli 1 13911
applic 1 13945
appoint 1 14023
apprais 1 14058
appreci 2 14076
apprehend 1 14116
approach 1 14141
appropri 1 14441
approv 2 14466
approxim 3 14501
april 1 14594
aprn 1 14641
arb 1 14657
arbitrari 1 14681
arc 1 14701
arcangelo 1 14716
archiv 1 14736
arcview 1 14754
area 1 14773
arena 1 15239
aria 1 15256
arijit 1 15278
arisen 1 15296
arlen 1 15314
arm 1 15331
arno 1 15350
aromat 1 15366
aronson 1 15384
arora 1 15403
array 1 15420
arrest 1 15441
arrhythmogenicitiy 1 15459
arriv 1 15488
arsenic 1 15535
art 1 15560
arteri 2 15676
arthi 1 15740
articl 2 15757
articul 1 15832
artifici 1 15851
artist 1 15870
arvan 1 15917
ascertain 1 15932
asdelhi 1 15971
asfia 1 15990
ash 1 16006
ashequr 1 16020
ashley 1 16038
asia 1 16056
asian 1 16090
ask 1 16119
aspect 2 16165
aspirin 2 16246
ass 1 16284
assault 1 16298
assay 1 16335
assembl 1 16352
assess 2 16371
asset 1 16797
assign 1 16832
assimil 1 16855
assist 2 16880
associ 2 17037
assum 1 17301
assun 1 17318
assur 1 17334
asthma 1 17363
astut 1 17589
asylum 1 17606
asynchron 1 17623
atherosclerot 1 17644
atlanta 1 17667
atlas 1 17710
atorvastatin 1 17727
attack 1 17753
attain 1 17799
attempt 1 17841
attend 1 17878
attende 1 18028
attent 1 18047
attentu 1 18126
attenu 1 18145
attest 1 18163
attitud 1 18180
attract 1 18313
attribut 1 18332
audil 1 18403
audio 1 18420
augment 1 18436
august 1 18455
augustyn 1 18473
austad 1 18493
australia 1 18511
author 2 18531
autom 1 18594
automat 1 18629
automobil 1 18647
autonom 1 18668
autonomi 1 18685
avail 2 18711
avenu 1 18852
averag 1 18869
avian 1 18930
avila 1 18947
avoid 1 18964
awar 1 18987
award 1 19084
axi 2 19101
axial 1 19135
azad 1 19152
azim 1 19167
aziz 1 19182
azodo 1 19198
ba 1 19215
babatund 1 19247
babi 1 19267
bachar 1 19295
bacillus 1 19312
background 2 19332
bailey 1 19563
baker 1 19586
bakri 1 19603
balasubramaniam 1 19619
baldini 1 19646
ball 1 19665
balloon 1 19681
balochi 1 19735
baltimor 1 19753
band 1 19958
bandeira 1 19974
bangalor 1 19994
bangladesh 1 20020
bank 1 20110
baquet 1 20126
bar 1 20150
barbitur 1 20171
barnet 1 20191
barnett 1 20209
barri 1 20227
barrier 1 20243
barth 1 20450
bartko 1 20466
barton 1 20484
basal 1 20502
base 3 20533
baselin 1 21356
basement 1 21434
basi 1 21452
basic 1 21490
bass 1 21565
bath 1 21581
batra 1 21597
batt 1 21613
batter 1 21629
bazant 1 21647
bazzel 1 21665
bc 1 21683
bcg 1 21697
bdt 1 21718
be 1 21747
beard 1 21767
beatriz 1 21796
becki 1 21815
bed 1 21832
began 1 21852
begin 1 21869
begun 1 21916
behavior 1 21933
behaviour 1 22496
beirut 1 22618
bekel 1 22654
bekelman 1 22671
belgium 1 22691
belief 1 22709
believ 2 22762
bell 1 22803
belo 1 22822
bemoan 1 22848
benedict 1 22866
benefici 1 22886
beneficiari 1 22906
benefit 2 22929
benfield 1 23073
ber 1 23091
berkeley 1 23106
bernadin 1 23131
bernay 1 23151
beryl 1 23169
beta 2 23186
bh 1 23215
bhatt 1 23235
bhup 1 23252
bi 1 23268
bias 1 23282
bibl 1 23298
bicycl 1 23314
biggest 1 23382
biguanid 1 23401
bijalan 1 23419
bike 1 23438
bill 1 23458
billion 1 23480
bing 1 23499
binomi 1 23520
biolog 2 23538
biom 1 23576
biomed 1 23591
biostatist 1 23609
bioterrorist 1 23649
biparent 1 23673
birmingham 1 23692
birth 1 23718
birthweight 1 24000
bisoprolol 1 24023
bivari 1 24048
bl 1 24072
black 2 24095
blake 1 24169
blanca 1 24186
blaney 1 24204
blind 1 24222
block 1 24243
blockad 1 24332
blocker 2 24365
blog 1 24497
blogospher 1 24512
blood 3 24533
bloomberg 1 24625
bls 1 24749
blue 1 24764
blueprint 1 24780
bmi 1 24805
board 1 24832
boateng 1 24876
bodega 1 24895
bodi 1 24937
bogardus 1 24993
bokhour 1 25013
bolsa 1 25032
bomb 1 25053
bone 1 25069
bonner 1 25091
book 1 25109
booster 1 25125
booth 1 25144
border 1 25161
born 1 25197
borycki 1 25290
bossart 1 25309
boston 1 25327
bottom 2 25414
boundari 1 25448
bowi 1 25474
boy 1 25496
boyer 1 25526
brackbil 1 25543
brainstorm 1 25563
brambl 1 25585
brancati 1 25603
brand 1 25623
brandei 1 25670
brandon 1 25689
brandoyn 1 25708
brazil 1 25728
brc 1 25791
break 1 25806
breast 1 25823
breastfeed 1 25973
brendan 1 26128
bridg 1 26147
briefli 1 26190
bring 1 26208
british 1 26272
broad 1 26291
broaden 1 26344
broader 1 26363
broccoli 1 26404
brochur 1 26424
broken 1 26443
brolin 1 26467
bronchospasm 1 26485
brookdal 1 26507
brophi 1 26527
brothel 1 26544
brother 1 26562
brought 2 26585
brouwer 1 26622
brown 1 26647
brucellosi 1 26682
brussel 1 26704
bs 1 26722
bsc 1 26760
bscn 1 26775
bsph 1 26791
bssd 1 26807
buffalo 1 26823
buffer 1 26841
build 1 26869
built 1 27066
builtwith 1 27113
buki 1 27133
bulbul 1 27148
bullard 1 27165
bulletin 1 27184
bum 1 27204
burden 1 27219
bureaucrat 1 27279
burgess 1 27301
burgo 1 27320
burk 1 27337
burn 1 27364
bus 1 27386
busi 1 27400
busto 1 27454
butler 1 27471
butz 1 27489
buy 1 27505
bypass 1 27525
byumba 1 27543
ca 1 27561
cadot 1 27591
caiaffa 1 27608
caisi 1 27644
caitlin 1 27695
calcul 1 27714
calderon 1 27770
calhoun 1 27790
california 1 27820
calikoglu 1 27859
call 1 27880
calmett 1 27974
cambridg 1 27993
cami 1 28013
campaign 1 28029
campbel 1 28067
campo 1 28085
campylobacteria 1 28114
canada 1 28141
canadian 1 28255
cancer 1 28321
candac 1 28594
candid 2 28612
canopi 1 28657
capabl 1 28675
capac 1 28699
cape 1 28800
capillari 1 28815
capit 1 28834
capita 1 28910
captur 1 28928
car 1 28970
cardiac 3 28996
cardiolog 1 29065
cardiologist 1 29086
cardiomyopathi 2 29122
cardiosati 1 29205
cardiovascular 4 29239
cardoso 1 29428
care 3 29453
career 1 30421
caregiv 1 30439
caribbean 1 30489
carl 1 30510
carla 1 30526
carlo 2 30543
carnota 1 30576
carolin 1 30594
carolina 1 30613
carolyn 1 30639
caron 1 30658
carrera 1 30675
carri 1 30693
carrion 1 30769
carrot 1 30787
carvedilol 1 30805
case 3 30907
castellani 1 31371
castillo 1 31392
casual 1 31412
casucci 1 31460
catalyst 1 31478
catanzaro 1 31498
categor 1 31519
categori 1 31544
cath 1 31593
cathecolamin 1 31608
catherin 1 31635
cathi 1 31666
cati 1 31683
caucasian 3 31699
caus 2 31798
causal 1 31838
cbg 1 31862
cbgs 1 31883
cbis 1 31917
cbo 1 31939
cbos 1 31952
cbpr 1 31996
cca 1 32048
ccare 1 32069
cchs 1 32092
ccp 1 32108
cd4 1 32120
cdc 1 32141
celentano 1 32178
cell 2 32205
cellular 1 32250
census 1 32270
center 1 32450
centerpiec 1 32966
centr 1 32988
central 2 33094
centroid 1 33161
centuri 1 33187
cereal 1 33218
certif 1 33236
certifi 1 33254
cervic 1 33279
cesd 1 33333
cessat 1 33355
cg 1 33383
ch 1 33409
chaaya 1 33423
chain 1 33441
chairman 1 33458
chaisson 1 33478
challeng 1 33498
chamber 1 33638
champaign 1 33659
champion 1 33680
chan 1 33706
chanc 1 33728
chang 1 33751
chapel 1 33966
character 2 33990
characterist 3 34069
charg 1 34348
charl 1 34365
charsey 1 34394
chart 1 34413
charter 1 34430
chatterje 1 34454
chc 1 34475
chcs 1 34489
check 1 34514
chemaitelli 1 34529
chemic 2 34552
cherian 1 34586
cherri 1 34605
ches 1 34623
chest 2 34649
chf 1 34701
chi 1 34771
chi2 1 34797
chicago 1 34822
chief 1 34912
chieh 1 34928
child 1 34945
childbear 1 35144
childcar 1 35165
childhood 1 35185
children 1 35241
chile 1 35629
china 1 35652
chinchwad 1 35668
chines 1 35695
chinyer 1 35713
chipman 1 35732
chisolm 1 35751
choi 1 35768
choic 2 35783
cholesterol 1 35883
chosen 1 35906
chrasandra 1 35924
christin 1 35946
christina 1 35965
christoph 1 36016
chronic 2 36048
chronolog 1 36142
chu 1 36163
church 1 36178
ci 3 36208
cibi 1 36521
cicu 1 36541
cid 1 36561
cigarett 1 36576
cihr 1 36675
circl 1 36691
circul 1 36708
circular 1 36725
circumcis 1 36744
circumst 1 36789
cit 1 36809
cite 1 36830
citi 1 36852
citizen 1 37517
civic 1 37547
civil 1 37576
claim 1 37593
clairborn 1 37628
clara 1 37649
clareci 1 37666
clarifi 1 37691
class 2 37710
classif 1 37800
classifi 1 37819
classroom 1 37839
claudia 1 37866
clean 1 37885
clear 1 37925
cleari 1 37960
cleft 1 37978
clegg 1 38062
clement 1 38079
cleverley 1 38098
client 1 38119
cliff 1 38316
climat 1 38338
clinic 3 38367
clinicepidemiolog 1 38676
clinician 1 38705
clissold 1 38746
close 1 38764
closer 1 38803
closest 1 38833
club 1 38858
clue 1 38874
cluster 1 38890
cma 1 39007
cmaj 1 39022
co 1 39037
coad 1 39080
coalit 1 39096
coast 1 39114
coastal 1 39130
coat 1 39149
cocain 1 39163
cockroach 1 39221
code 1 39257
coeffici 1 39316
cognit 1 39336
cohen 1 39353
cohes 1 39369
cohort 3 39410
coid 1 39522
collabor 1 39544
collag 1 39779
collaps 1 39796
collar 1 39815
colleagu 1 39833
collect 2 39853
colleg 1 40102
collin 1 40198
colon 1 40216
coloni 1 40239
colonoscopi 1 40276
colostrum 1 40299
columbia 1 40320
columbus 1 40369
combat 1 40387
combin 2 40411
comet 1 40550
comfort 1 40591
commenc 1 40626
comment 1 40645
commentari 1 40663
commerci 1 40685
commiss 1 40740
commit 1 40765
committe 1 40805
common 2 40831
communal 1 40971
communic 1 40990
communiti 1 41163
commut 1 42763
comorbid 1 42826
compar 3 42844
comparison 1 43162
compet 2 43244
competit 1 43284
complaint 1 43304
complet 1 43325
complex 1 43493
complianc 1 43572
compliant 1 43598
complic 1 43624
complimentari 1 43654
compon 1 43679
compos 2 43783
composit 3 43823
compost 1 43909
compound 2 43928
comprehens 1 43966
compris 2 44063
compromis 1 44144
comput 1 44164
computer 1 44304
comuna 1 44332
conceiv 2 44350
concentr 1 44386
concept 1 44441
conceptu 1 44490
concern 2 44552
conclud 1 44730
conclus 3 44749
concomit 2 45148
concord 1 45185
concret 1 45213
concurr 1 45232
condessa 1 45257
condit 1 45277
condom 1 45434
conduct 1 45685
cone 1 46020
confer 2 46036
confid 2 46082
confidenti 1 46141
confirm 1 46163
confirmatori 1 46179
conflict 1 46203
confound 1 46247
confront 1 46291
congenit 1 46316
congest 1 46336
congreg 1 46358
conjunct 1 46383
connect 1 46419
connecticut 1 46473
conscious 1 46502
consensus 1 46523
consent 1 46544
consequ 1 46574
consid 2 46659
consider 1 46774
consist 2 46852
consortium 1 47004
constanc 1 47026
constant 2 47052
constitu 1 47090
constitut 1 47110
constrain 1 47131
constraint 1 47151
construct 2 47193
consult 1 47262
consum 1 47316
consumpt 1 47380
contact 1 47445
contagion 1 47469
